Domain Name,Expected Ratio,Observed Ratio,Enrichment Fold Change,P-value,FDR depleted P-value,Bonferroni depleted P-value,log2(Enrichment Fold Change),-log10(P-value),-log10(FDR P-value),-log10(Bonferroni P-value)
GO:0016784,6/49164 (0.0122%),0/32 (0%),0.0,0.9961008547003465,1.0,1.0,-1000.0,0.0016966872566592096,-0.0,-0.0
GO:0016787,1023/49164 (2.081%),3/32 (9.375%),4.5054985337243405,0.9957844128479553,1.0,1.0,2.171686749177285,0.0018346760793408056,-0.0,-0.0
GO:0016788,32/49164 (0.06509%),0/32 (0%),0.0,0.979374081942163,1.0,1.0,-1000.0,0.00905139329149755,-0.0,-0.0
GO:0016790,4/49164 (0.008136%),0/32 (0%),0.0,0.997398930465604,1.0,1.0,-1000.0,0.001131101821621524,-0.0,-0.0
GO:0016791,60/49164 (0.122%),0/32 (0%),0.0,0.9616649750007613,1.0,1.0,-1000.0,0.01697620119513658,-0.0,-0.0
GO:0016798,56/49164 (0.1139%),0/32 (0%),0.0,0.9641757202385027,1.0,1.0,-1000.0,0.015843809068740004,-0.0,-0.0
GO:0016799,2/49164 (0.004068%),0/32 (0%),0.0,0.9986986448982176,1.0,1.0,-1000.0,0.0005655394033595667,-0.0,-0.0
GO:0016803,2/49164 (0.004068%),0/32 (0%),0.0,0.9986986448982176,1.0,1.0,-1000.0,0.0005655394033595667,-0.0,-0.0
GO:0016805,1/49164 (0.002034%),0/32 (0%),0.0,0.9993491172402571,1.0,1.0,-1000.0,0.00028276682493404826,-0.0,-0.0
GO:0016807,3/49164 (0.006102%),0/32 (0%),0.0,0.9980485827234333,1.0,1.0,-1000.0,0.0008483177355106826,-0.0,-0.0
GO:0016810,9/49164 (0.01831%),0/32 (0%),0.0,0.9941568091805975,1.0,1.0,-1000.0,0.0025451085697685686,-0.0,-0.0
GO:0016811,4/49164 (0.008136%),0/32 (0%),0.0,0.997398930465604,1.0,1.0,-1000.0,0.001131101821621524,-0.0,-0.0
GO:0016812,3/49164 (0.006102%),0/32 (0%),0.0,0.9980485827234333,1.0,1.0,-1000.0,0.0008483177355106826,-0.0,-0.0
GO:0016814,1/49164 (0.002034%),0/32 (0%),0.0,0.9993491172402571,1.0,1.0,-1000.0,0.00028276682493404826,-0.0,-0.0
GO:0016818,5/49164 (0.01017%),0/32 (0%),0.0,0.9967496878745767,1.0,1.0,-1000.0,0.001413891661926328,-0.0,-0.0
GO:0016829,121/49164 (0.2461%),0/32 (0%),0.0,0.9241519330958694,1.0,1.0,-1000.0,0.03425662371397681,-0.0,-0.0
