Feature name,Standard gene name,mRNA half-life
YHR020W,-,12.0
YHR021C,RPS27B,13.0
YHR025W,THR1,16.0
YHR026W,VMA16,19.0
YHR042W,NCP1,13.0
YHR052W,CIC1,10.0
YHR064C,SSZ1,19.0
YHR065C,RRP3,20.0
YHR066W,SSF1,9.0
YHR068W,DYS1,15.0
YHR088W,RPF1,12.0
YHR089C,GAR1,10.0
YHR128W,FUR1,12.0
YHR133C,NSG1,11.0
YHR141C,RPL42B,13.0
YHR144C,DCD1,9.0
YHR148W,IMP3,10.0
YHR169W,DBP8,10.0
YHR170W,NMD3,11.0
YHR193C,EGD2,17.0
YHR196W,UTP9,12.0
YHR197W,RIX1,12.0
YHR203C,RPS4B,12.0
YHR216W,IMD2,32.0
YIL148W,RPL40A,13.5
YIL133C,RPL16A,8.0
YIL127C,RRT14,11.0
YIL110W,HPM1,12.0
YIL104C,SHQ1,12.0
YIL096C,BMT5,9.0
YIL079C,AIR1,10.0
YIL078W,THS1,16.0
YIL052C,RPL34B,14.0
YIL021W,RPB3,18.0
YIL020C,HIS6,14.0
YIL019W,FAF1,10.0
YIL018W,RPL2B,12.0
YIR012W,SQT1,13.0
YIR026C,YVH1,9.0
